Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))

Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
Position read error: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
